,TICKER,Patrimonio Liq,Ativos,Ativo Circulante,Divida Bruta,Disponbilidade,Divida Liq,Valor de Merc,Valor de Firma,Liquidez Media,Setor,Subsetor,Segmento
133,CEBR3,1.045.455.000,1.462.188.000,768.886.000,0,675.715.000,-675.715.000,"<strong class=""value"">1.170.419.185</strong>",494.704.185,"<strong class=""value"">176.566,07</strong>",Utilidade Pública,Energia Elétrica,Energia Elétrica
134,CEBR5,1.045.455.000,1.462.188.000,768.886.000,0,675.715.000,-675.715.000,"<strong class=""value"">1.170.419.185</strong>",494.704.185,"<strong class=""value"">89.513,12</strong>",Utilidade Pública,Energia Elétrica,Energia Elétrica
135,CEBR6,1.045.455.000,1.462.188.000,768.886.000,0,675.715.000,-675.715.000,"<strong class=""value"">1.170.419.185</strong>",494.704.185,"<strong class=""value"">273.396,22</strong>",Utilidade Pública,Energia Elétrica,Energia Elétrica
136,CEDO3,185.170.000,840.556.000,455.601.000,251.174.000,38.792.000,212.382.000,"<strong class=""value"">251.287.869</strong>",463.669.869,"<strong class=""value"">11.094,92</strong>",Consumo Cíclico,Tecidos. Vestuário e Calçados,Fios e Tecidos
137,CEDO4,185.170.000,840.556.000,455.601.000,251.174.000,38.792.000,212.382.000,"<strong class=""value"">251.287.869</strong>",463.669.869,"<strong class=""value"">134.758,33</strong>",Consumo Cíclico,Tecidos. Vestuário e Calçados,Fios e Tecidos
138,CEEB3,5.925.000.000,27.755.000.000,6.154.000.000,14.477.000.000,1.414.000.000,13.063.000.000,"<strong class=""value"">12.759.160.029</strong>",25.822.160.029,"<strong class=""value"">167.960,18</strong>",Utilidade Pública,Energia Elétrica,Energia Elétrica
139,CEEB5,5.925.000.000,27.755.000.000,6.154.000.000,14.477.000.000,1.414.000.000,13.063.000.000,"<strong class=""value"">12.759.160.029</strong>",25.822.160.029,"<strong class=""value"">4.131,00</strong>",Utilidade Pública,Energia Elétrica,Energia Elétrica
140,CEEB6,5.925.000.000,27.755.000.000,6.154.000.000,14.477.000.000,1.414.000.000,13.063.000.000,"<strong class=""value"">12.759.160.029</strong>",25.822.160.029,"<strong class=""value"">-</strong>",Utilidade Pública,Energia Elétrica,Energia Elétrica
141,CEED3,-2.965.536.000,7.435.734.000,2.809.108.000,4.079.811.000,1.296.898.000,2.782.913.000,"<strong class=""value"">1.465.454.669</strong>",4.248.367.669,"<strong class=""value"">5.598,80</strong>",Utilidade Pública,Energia Elétrica,Energia Elétrica
142,CEED4,-2.965.536.000,7.435.734.000,2.809.108.000,4.079.811.000,1.296.898.000,2.782.913.000,"<strong class=""value"">1.465.454.669</strong>",4.248.367.669,"<strong class=""value"">6.720,00</strong>",Utilidade Pública,Energia Elétrica,Energia Elétrica
143,CEGR3,1.401.590.000,4.495.403.000,1.225.711.000,1.247.540.000,508.306.000,739.234.000,"<strong class=""value"">22.931.204.490</strong>",23.670.438.490,"<strong class=""value"">-</strong>",Utilidade Pública,Gás,Gás
144,CEPE3,1.490.000.000,13.348.000.000,3.273.000.000,7.769.000.000,485.000.000,7.284.000.000,"<strong class=""value"">8.662.392.210</strong>",15.946.392.210,"<strong class=""value"">-</strong>",Utilidade Pública,Energia Elétrica,Energia Elétrica
